nombre,stock,categoria,ubicacion,codigo,descripcion
"Tuerca",1,"Tuerca","6415","14M7029","M8"
"Tornillo hueco",2,"Tornillo","6615","CQ29143",""
"Arandela",4,"Arandela","6615","S17072",""
"Manguera",1,"Manguera","6615","CQ55032","CTL 900 mm, MF MN11040"
"Manguera",1,"Manguera","","MN11040",""
"Abrazadera",6,"Abrazadera","6615","SG06401",""
"Manguera",1,"Manguera","6615","CQ55027","CTL 1650 mm; SUB FOR CQ55030"
"Conexión de manguera",2,"Manguera","6615","CQ08038",""
"Manguera",1,"Manguera","6615","CQ55027","CTL 800 mm; SUB FOR CQ63428"
"Manguera",1,"Manguera","6615","CQ29167",""
"Presilla",2,"Componente","6615","AH78125",""
"Arandela",1,"Arandela","6615","24M7055","8.400 X 16 X 1.600 mm"
"Tornillo",2,"Tornillo","6615","19M7162","M8 X 16"
"Tuerca",1,"Tuerca","6615","14M7029","M8"
"Vástago",1,"Componente","6415","AL163686",""
"Vástago",1,"Componente","6615","AL163687",""
"Eslabón giratorio",1,"Componente","6415, 6615","T22242",""
"Pasador de aletas",1,"Componente","6415, 6615","11M7009","2 X 16 mm"
"Tuerca",3,"Tuerca","6415, 6615","14M7272","M6"
"Cabeza de articul. esférica",1,"Cabeza","6415, 6615","56M7009",""
"Arandela",4,"Arandela","6415, 6615","24M7088","6.600 X 12 X 1.600 mm"
"Filtro de aire",1,"Filtro","6415, 6615","AL156263",""
"Manguera",1,"Manguera","6415, 6615","L158246","LGTH= 730MM"
"Casquillo",1,"Componente","6415, 6615","L151661",""
"Manocontacto",1,"Componente","6415, 6615","AL150289",""
"Deflector",1,"Componente","6415, 6615","AL150287",""
"Filtro de aire",1,"Filtro","6415, 6615","AL172780",""
"Filtro de aire",1,"Filtro","6415, 6615","AL150288",""
"Mango",1,"Componente","6415, 6615","L151979",""
"Cabeza de filtro",1,"Filtro","6415, 6615","AL150286",""
"Abrazadera",2,"Abrazadera","6415, 6615","L154742",""
"Manguera",3,"Manguera","6415, 6615","L168846",""
"Alimentador de mies",1,"Componente","6415","DQ51588","(SIN CABINA)"
"Silenciador",1,"Componente","6415","AL153067","(CON CABINA)"
"Tornillo",1,"Tornillo","6415","19M8819","M8 X 35"
"Cinta",1,"Componente","6415","AL117063",""
"Tornillo",1,"Tornillo","6415","L113409","M8 X 70"
"Soporte",1,"Soporte","6415","AL117064",""
"Tornillo",1,"Tornillo","6415","19M7167","(SIN CABINA) M10 X 25"
"Tornillo",1,"Tornillo","6415","19M7402","(CON CABINA) M10 X 25"
"Arandela",1,"Arandela","6415","24M7213","10.500 X 25 X 4 mm"
"Soporte",1,"Soporte","6415","L114822",""
"Protección",1,"Componente","6415","L167664",""
"Arandela",2,"Arandela","6415","24M7028","10.500 X 20 X 2 mm"
"Tornillo",2,"Tornillo","6415","19M3143","M10 X 20"
"Abrazadera",1,"Abrazadera","6415","AL82256",""
"Protección",1,"Componente","6415","L158590",""
"Protección",1,"Componente","6615","L158499",""
"Tubo de escape",1,"Componente","6415","DQ53440",""
"Tubo de escape",1,"Componente","6415","DQ64409",""
